registration_number,name,nace_as_published,turnover_2024_eur,employees_annual_report,period_start,period_end,statement_id,register_terminated_date,register_closed_flag
50102006881,"""ADS group"" SIA",4100,1545609,42,2024-01-01,2024-12-31,1981817,, 
40103887014,"""AG KON"" SIA",4100,1042622,7,2024-01-01,2024-12-31,1981990,, 
50003482201,"""BG BŪVE"" SIA",4100,1413686,4,2024-01-01,2024-12-31,1959984,, 
40203384503,"""LHCON LV"" SIA",4100,1369531,2,2024-01-01,2024-12-31,2026299,, 
40103261838,H/S Būve SIA,4100,1479405,23,2024-01-01,2024-12-31,1990185,, 
44103086056,"Krafter, SIA",4100,1740355,28,2024-01-01,2024-12-31,1995751,, 
40203576531,"PS ""BCC Litana""",4100,1209729,0,2024-07-19,2024-12-31,2029756,, 
42103102140,"PS ""CES Group""",4100,1928374,0,2024-01-01,2024-12-31,1981221,, 
40203116238,"SIA ""3D SOLUTIONS""",4100,1260605,7,2024-01-01,2024-12-31,2046907,, 
41203031752,"SIA ""AB BŪVNIECĪBA""",4100,1309051,25,2024-01-01,2024-12-31,2026058,, 
42103048785,"SIA ""AJ meistars""",4100,1492520,15,2024-01-01,2024-12-31,2020653,, 
45403051828,"SIA ""ALVIGO""",4100,1317656,8,2024-01-01,2024-12-31,2044706,, 
53603036191,"SIA ""Agrobūve""",4100,1827076,19,2024-01-01,2024-12-31,2057788,, 
40103232203,"SIA ""Articom""",4100,1167935,23,2024-01-01,2024-12-31,2003456,, 
40103189663,"SIA ""BIERENS BŪVE""",4100,1146535,5,2024-01-01,2024-12-31,2060128,, 
40003534770,"SIA ""BK2""",4100,1022042,6,2024-01-01,2024-12-31,2083784,, 
40203555671,"SIA ""BRC Grupa""",4100,1251555,13,2024-04-17,2024-12-31,2062915,, 
40002022182,"SIA ""CHEMPS""",4100,1078285,13,2024-01-01,2024-12-31,2087133,, 
40203355557,"SIA ""COKOLS I""",4100,1482937,22,2024-01-01,2024-12-31,2065775,, 
43603083781,"SIA ""Cortto""",4100,1088809,21,2024-01-01,2024-12-31,2061462,, 
40203521425,"SIA ""DELTA""",4100,1223952,12,2024-01-01,2024-12-31,2082557,, 
43603090872,"SIA ""DLB Engineering""",4100,1168491,10,2024-01-01,2024-12-31,2061567,, 
40103856584,"SIA ""Dzelzceļa un Infrastruktūras attīstība""",4100,1027379,22,2024-01-01,2024-12-31,1974991,, 
42103038221,"SIA ""Dzintars AB""",4100,1920007,31,2024-01-01,2024-12-31,1970738,, 
44103001903,"SIA ""EKERS""",4100,1256271,53,2024-01-01,2024-12-31,2073622,, 
43603052616,"SIA ""EKOMEISTARS""",4100,1008944,19,2024-01-01,2024-12-31,2052792,, 
40203177088,"SIA ""HN Būvnieks""",4100,1378641,22,2024-01-01,2024-12-31,2052733,, 
40003246495,"SIA ""I.S.A.M.""",4100,1303526,17,2024-01-01,2024-12-31,2026959,, 
52103029201,"SIA ""IT KON""",4100,1033464,20,2024-01-01,2024-12-31,1980783,, 
45403050184,"SIA ""JunM Grupa""",4100,1443814,23,2024-01-01,2024-12-31,2084658,, 
40203313591,"SIA ""Jūsu Māja""",4100,1646268,5,2024-01-01,2024-12-31,2021130,, 
42103040372,"SIA ""KURZEMES BŪVSERVISS""",4100,1491138,22,2024-01-01,2024-12-31,1972877,, 
42403025832,"SIA ""Kind service""",4100,1406328,44,2024-01-01,2024-12-31,2088050,, 
40003842249,"SIA ""Kokneši Plus""",4100,1085048,20,2024-01-01,2024-12-31,2023027,, 
50003636721,"SIA ""LATBUVTRADE""",4100,1919370,23,2024-01-01,2024-12-31,2092287,, 
43603081795,"SIA ""MZ Group""",4100,1118394,8,2024-01-01,2024-12-31,2088925,, 
50003634701,"SIA ""Millers & Gabrilovičs""",4100,1493004,32,2024-01-01,2024-12-31,1993854,, 
40203264987,"SIA ""Monumental""",4100,1170604,6,2024-01-01,2024-12-31,2051610,, 
42102001645,"SIA ""MŪRNIEKS""",4100,1992862,49,2024-01-01,2024-12-31,2027910,, 
40103639046,"SIA ""RB & B Būvnieks""",4100,1050160,10,2024-01-01,2024-12-31,2056249,, 
40003317726,"SIA ""RBC TRANS""",4100,1940792,46,2024-01-01,2024-12-31,2033783,, 
40203321777,"SIA ""Renovatio 12""",4100,1809889,10,2024-01-01,2024-12-31,2037512,, 
49203003338,"SIA ""Ropex Building and Construction""",4100,1985108,6,2024-01-01,2024-12-31,2088932,, 
40103516432,"SIA ""STRUKTUM""",4100,1238782,15,2024-01-01,2024-12-31,2041379,, 
40103263203,"SIA ""Skonto Construction""",4100,1776223,20,2024-01-01,2024-12-31,2185838,, 
45403053335,"SIA ""Solart būve""",4100,1634897,33,2024-01-01,2024-12-31,2008397,, 
40103638515,"SIA ""VBLC""",4100,1261898,5,2024-01-01,2024-12-31,1957979,, 
43603070221,"SIA ""VK CENTRAL PLUS""",4100,1333036,7,2024-01-01,2024-12-31,2031754,, 
40003261969,"SIA ""VSV Celtnieks""",4100,1050204,32,2023-11-01,2024-10-31,1962190,, 
41202016243,"SIA ""VĪGANTES""",4100,1013379,14,2024-01-01,2024-12-31,2032774,, 
40002085008,"SIA ""Westbūve""",4100,1921722,16,2024-01-01,2024-12-31,2066231,, 
40103692634,"SIA ""Working Group""",4100,1012335,7,2024-01-01,2024-12-31,2034251,, 
40103767110,SIA Filpro,4100,1815919,25,2024-01-01,2024-12-31,2086700,, 
40203151977,SIA Flancis,4100,1169730,23,2024-01-01,2024-12-31,2042033,, 
40103516860,SIA HB service,4100,1353955,29,2024-01-01,2024-12-31,2075673,, 
42103103998,SIA LATHAUS,4100,1167647,6,2024-01-01,2024-12-31,2069832,, 
40203468586,SIA Lisberg,4100,1714040,8,2024-01-01,2024-12-31,2051778,, 
40203036873,SIA PROMARK CONSTRUCTION,4100,1940692,23,2024-01-01,2024-12-31,1989590,, 
40203307542,SIA RENKO,4100,1261072,15,2024-01-01,2024-12-31,1986529,, 
45403047216,SIA Trast Būve,4100,1915479,30,2024-01-01,2024-12-31,2063785,, 
40103702487,SIA a2a.properties,4100,1237925,16,2024-01-01,2024-12-31,2042526,, 
40203230406,SV DEAL Ltd SIA,4100,1286754,7,2024-01-01,2024-12-31,1979428,, 
48503010683,"Sabiedrība ar ierobežotu atbildību ""4B""",4100,1448140,21,2024-01-01,2024-12-31,2071489,, 
40103601705,"Sabiedrība ar ierobežotu atbildību ""A BŪVNIEKS""",4100,1881034,46,2024-01-01,2024-12-31,2059562,, 
40103742564,"Sabiedrība ar ierobežotu atbildību ""A.P.E Build""",4100,1047600,24,2024-01-01,2024-12-31,1997941,, 
42403024216,"Sabiedrība ar ierobežotu atbildību ""ACUK""",4100,1031643,18,2024-01-01,2024-12-31,1973160,, 
43603042088,"Sabiedrība ar ierobežotu atbildību ""AJ Celtnieks""",4100,1038171,19,2024-01-01,2024-12-31,1965734,, 
40203263981,"Sabiedrība ar ierobežotu atbildību ""AS Inspection""",4100,1294546,23,2024-01-01,2024-12-31,2070040,, 
42403013960,"Sabiedrība ar ierobežotu atbildību ""ASKO AS""",4100,1756327,54,2024-01-01,2024-12-31,2021005,, 
42102001611,"Sabiedrība ar ierobežotu atbildību ""AV Projekts""",4100,1843629,7,2024-01-01,2024-12-31,2081801,, 
48503013266,"Sabiedrība ar ierobežotu atbildību ""Aksīte""",4100,1681051,31,2024-01-01,2024-12-31,1976567,, 
40003229160,"Sabiedrība ar ierobežotu atbildību ""BALSTS-R""",4100,1084549,12,2024-01-01,2024-12-31,2046980,, 
40003910278,"Sabiedrība ar ierobežotu atbildību ""BAUMEISTER""",4100,1524066,36,2024-01-01,2024-12-31,2048513,, 
41503035363,"Sabiedrība ar ierobežotu atbildību ""BELMAST BŪVE""",4100,1490871,35,2024-01-01,2024-12-31,1976296,, 
40103373927,"Sabiedrība ar ierobežotu atbildību ""BELTES BŪVE""",4100,1699595,18,2024-01-01,2024-12-31,2067391,, 
